timestamp,aggregate,dishwasher,fridge,microwave,washing_machine
2014-08-24 00:00:00+00:00,579.0,0.0,0.0,51.0,16.0
2014-08-24 00:00:06+00:00,563.0,0.0,0.0,50.0,16.0
2014-08-24 00:00:12+00:00,571.0,0.0,0.0,51.0,17.0
2014-08-24 00:00:18+00:00,573.0,0.0,0.0,50.0,16.0
2014-08-24 00:00:24+00:00,562.0,0.0,0.0,51.0,16.0
2014-08-24 00:00:30+00:00,560.0,0.0,0.0,51.0,16.0
2014-08-24 00:00:36+00:00,560.0,0.0,0.0,51.0,16.0
2014-08-24 00:00:42+00:00,565.0,0.0,0.0,51.0,16.0
2014-08-24 00:00:48+00:00,563.0,0.0,0.0,50.0,16.0
2014-08-24 00:00:54+00:00,570.0,0.0,0.0,51.0,16.0
2014-08-24 00:01:00+00:00,567.0,0.0,0.0,50.0,16.0
2014-08-24 00:01:06+00:00,566.0,0.0,0.0,51.0,16.0
2014-08-24 00:01:12+00:00,575.0,0.0,0.0,51.0,16.0
2014-08-24 00:01:18+00:00,564.0,0.0,0.0,51.0,16.0
2014-08-24 00:01:24+00:00,572.0,0.0,0.0,50.0,16.0
2014-08-24 00:01:30+00:00,568.0,0.0,0.0,50.0,16.0
2014-08-24 00:01:36+00:00,575.0,0.0,0.0,50.0,16.0
2014-08-24 00:01:42+00:00,569.0,0.0,0.0,50.0,16.0
2014-08-24 00:01:48+00:00,562.0,0.0,0.0,50.0,16.0
2014-08-24 00:01:54+00:00,571.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:00+00:00,568.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:06+00:00,568.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:12+00:00,572.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:18+00:00,560.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:24+00:00,563.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:30+00:00,573.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:36+00:00,574.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:42+00:00,568.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:48+00:00,568.0,0.0,0.0,50.0,16.0
2014-08-24 00:02:54+00:00,570.0,0.0,0.0,50.0,16.0
2014-08-24 00:03:00+00:00,567.0,0.0,0.0,50.0,16.0
2014-08-24 00:03:06+00:00,560.0,0.0,0.0,50.0,16.0
2014-08-24 00:03:12+00:00,564.0,0.0,0.0,50.0,16.0
2014-08-24 00:03:18+00:00,565.0,0.0,0.0,50.0,16.0
